Wichtigste Umweltprobleme in den EU-28 Mitgliedsstaaten 2017;;
Welcher der nachfolgend genannten Umweltprobleme bewerten Sie als am wichtigsten?*;;
;;
Klimawandel;51;in %
Luftverschmutzung;46;in %
Wachsende Abfallmenge;40;in %
Verschmutzung von Flüssen, Seen und Grundwasser;36;in %
Landwirtschaftliche Verschmutzung und Bodenerosion;34;in %
Artensterben;33;in %
Meeresverschmutzung;33;in %
Knappheit von Trinkwasser;30;in %
Regelmäßige Dürren und Überschwemmungen;25;in %
Lärmbelästigung;10;in %
